stage,target_epochs,hidden_sizes,activation,dropout,rmse,mse,mae,parameters,best_epoch,status,feasible
3,400,"(4, 12)",relu,0.1,45.4143601884704,2062.464111328125,36.73686599731445,257,400,cold,True
3,400,"(4, 12)",elu,0.2,41.07802693502939,1687.404296875,31.721111297607422,257,400,cold,True
3,400,"(16, 12, 48)",elu,0.1,15.255149597214654,232.71958923339844,11.056090354919434,1613,400,cold,True
3,400,"(4, 8)",silu,0.2,54.93883317495012,3018.275390625,45.99423599243164,233,400,cold,True
3,400,"(4, 16, 64)",relu,0.1,18.37716226117181,337.7200927734375,13.889107704162598,1417,400,cold,True
3,400,"(4, 32, 64)",relu,0.05,15.636062002196187,244.48643493652344,11.660257339477539,2521,400,cold,True
3,400,"(16, 24, 48)",relu,0.05,15.060266099582517,226.81161499023438,10.489248275756836,2393,400,cold,True
3,400,"(32, 8, 64)",relu,0.05,13.865557782756275,192.25369262695312,9.856874465942383,2377,400,cold,True
3,400,"(16, 16)",relu,0.05,21.838715722187768,476.92950439453125,15.412086486816406,1025,400,cold,True
3,400,"(8, 16, 64)",relu,0.1,16.57144050409799,274.6126403808594,12.016670227050781,1665,400,warm,True
3,400,"(4, 4, 64)",elu,0.2,24.083440056622674,580.0120849609375,18.04273223876953,589,400,cold,True
3,400,"(64, 16, 64)",relu,0.05,13.994580991195864,195.84829711914062,9.812507629394531,5137,400,cold,True
3,400,"(32, 8, 64)",relu,0.1,15.967111163764585,254.94863891601562,11.479363441467285,2377,400,cold,True
3,400,"(4, 4)",elu,0.2,80.77444966541091,6524.51171875,72.6510009765625,209,400,cold,True
3,400,"(48, 32, 48)",relu,0.2,13.880409629559749,192.665771484375,9.72175121307373,5409,400,cold,True
3,400,"(8, 16)",elu,0.2,30.514754931912652,931.1502685546875,21.03019905090332,529,400,cold,True
3,400,"(32, 4, 64)",relu,0.05,14.948827303308464,223.46743774414062,10.694293975830078,1989,400,cold,True
3,400,"(8, 4)",silu,0.2,62.51776114820792,3908.470458984375,53.000301361083984,409,400,cold,True
3,400,"(4, 12)",elu,0.1,78.39888865403323,6146.3857421875,66.93940734863281,257,400,cold,True
3,400,"(4, 16)",elu,0.2,55.04296306707266,3029.727783203125,45.470359802246094,281,400,cold,True
